game_name,magic_metric,performance_metric,correlation_coefficient,p_value,n_samples
athey_bagwell,deception,win_rate,0.33613687122136027,0.3764698179403301,9
athey_bagwell,deception,average_profit,0.44880195742931106,0.2256046598997839,9
athey_bagwell,cooperation,win_rate,-0.25687125853864323,0.5046322469557761,9
athey_bagwell,cooperation,average_profit,-0.40001797396078576,0.2860814229379862,9
athey_bagwell,reasoning,win_rate,0.6453355811720412,0.060513039882924446,9
athey_bagwell,reasoning,average_profit,0.67748560945211,0.04496023105664094,9
green_porter,cooperation,win_rate,0.3795360576382946,0.3137167241879263,9
green_porter,cooperation,average_profit,-0.6620103349837316,0.052080003219664356,9
green_porter,coordination,win_rate,0.2762679632873515,0.4717698125346385,9
green_porter,coordination,average_profit,0.132092521347411,0.7347854299395057,9
green_porter,judgment,win_rate,0.3390607867472756,0.37206820535192325,9
green_porter,judgment,average_profit,-0.5925554734342054,0.0926793309115399,9
salop,rationality,win_rate,0.0,1.0,9
salop,rationality,average_profit,0.0,1.0,9
salop,self_awareness,win_rate,0.3286878675669582,0.38779361534084544,9
salop,self_awareness,average_profit,0.33181231895380287,0.3830247161118765,9
spulber,rationality,win_rate,0.0,1.0,9
spulber,rationality,average_profit,0.0,1.0,9
spulber,self_awareness,win_rate,0.16903085094570328,0.663746859184316,9
spulber,self_awareness,average_profit,-0.7583094415912803,0.017874513430324035,9
