condition,few_players,few_players,few_players,few_players,few_players_wide_cost_range,few_players_wide_cost_range,few_players_wide_cost_range,few_players_wide_cost_range,more_players,more_players,more_players,more_players
metric,average_profit,market_capture_rate,profit_volatility,win_rate,average_profit,market_capture_rate,profit_volatility,win_rate,average_profit,market_capture_rate,profit_volatility,win_rate
model,,,,,,,,,,,,
gemini_2_0_flash,"49.19 [49.19, 49.19]","0.60 [0.60, 0.60]","44.9 [44.9, 44.9]","0.60 [0.60, 0.60]","34.42 [34.42, 34.42]","0.40 [0.40, 0.40]","76.5 [76.5, 76.5]","0.40 [0.40, 0.40]","0.55 [0.55, 0.55]","0.60 [0.60, 0.60]","0.5 [0.5, 0.5]","0.60 [0.60, 0.60]"
gemini_2_0_flash_lite,"27.30 [27.30, 27.30]","0.50 [0.50, 0.50]","40.7 [40.7, 40.7]","0.80 [0.80, 0.80]","54.00 [54.00, 54.00]","0.30 [0.30, 0.30]","80.5 [80.5, 80.5]","0.40 [0.40, 0.40]","27.48 [27.48, 27.48]","0.50 [0.50, 0.50]","40.5 [40.5, 40.5]","0.60 [0.60, 0.60]"
gemini_2_5_flash_lite_thinking_medium,"38.92 [38.92, 38.92]","0.40 [0.40, 0.40]","68.4 [68.4, 68.4]","0.40 [0.40, 0.40]","153.97 [153.97, 153.97]","0.20 [0.20, 0.20]","344.3 [344.3, 344.3]","0.40 [0.40, 0.40]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.0 [0.0, 0.0]","0.00 [0.00, 0.00]"
random_agent,"0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.0 [0.0, 0.0]","0.40 [0.40, 0.40]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.0 [0.0, 0.0]","0.80 [0.80, 0.80]","0.00 [0.00, 0.00]","0.00 [0.00, 0.00]","0.0 [0.0, 0.0]","0.00 [0.00, 0.00]"
