condition,few_players,few_players,few_players,few_players,few_players_low_transport,few_players_low_transport,few_players_low_transport,few_players_low_transport,more_players,more_players,more_players,more_players
metric,average_profit,market_share,profit_volatility,win_rate,average_profit,market_share,profit_volatility,win_rate,average_profit,market_share,profit_volatility,win_rate
model,,,,,,,,,,,,
gemini_2_0_flash,"68522.00 [68522.00, 68522.00]","10.00 [10.00, 10.00]","5050.5 [5050.5, 5050.5]","1.00 [1.00, 1.00]","227233.33 [227233.33, 227233.33]","22.73 [22.73, 22.73]","4183.3 [4183.3, 4183.3]","1.00 [1.00, 1.00]","63395.00 [63395.00, 63395.00]","8.47 [8.47, 8.47]","10951.3 [10951.3, 10951.3]","1.00 [1.00, 1.00]"
gemini_2_0_flash_lite,"30678.64 [30678.64, 30678.64]","2.14 [2.14, 2.14]","31946.2 [31946.2, 31946.2]","0.80 [0.80, 0.80]","19432.67 [19432.67, 19432.67]","0.93 [0.93, 0.93]","19719.8 [19719.8, 19719.8]","0.60 [0.60, 0.60]","19342.29 [19342.29, 19342.29]","1.06 [1.06, 1.06]","19740.5 [19740.5, 19740.5]","0.40 [0.40, 0.40]"
gemini_2_5_flash_lite_thinking_medium,"60752.00 [60752.00, 60752.00]","5.53 [5.53, 5.53]","34151.4 [34151.4, 34151.4]","0.80 [0.80, 0.80]","207756.00 [207756.00, 207756.00]","18.90 [18.90, 18.90]","50804.3 [50804.3, 50804.3]","0.80 [0.80, 0.80]","73105.33 [73105.33, 73105.33]","6.60 [6.60, 6.60]","4219.7 [4219.7, 4219.7]","1.00 [1.00, 1.00]"
random_agent,"40041.93 [40041.93, 40041.93]","8.49 [8.49, 8.49]","29591.2 [29591.2, 29591.2]","1.00 [1.00, 1.00]","180107.15 [180107.15, 180107.15]","14.11 [14.11, 14.11]","47031.4 [47031.4, 47031.4]","0.80 [0.80, 0.80]","53806.62 [53806.62, 53806.62]","9.97 [9.97, 9.97]","17868.1 [17868.1, 17868.1]","0.80 [0.80, 0.80]"
