condition,few_players,few_players,few_players,few_players,few_players_high_demand_volatility,few_players_high_demand_volatility,few_players_high_demand_volatility,few_players_high_demand_volatility,more_players,more_players,more_players,more_players
metric,average_profit,profit_volatility,reversion_frequency,win_rate,average_profit,profit_volatility,reversion_frequency,win_rate,average_profit,profit_volatility,reversion_frequency,win_rate
model,,,,,,,,,,,,
gemini_2_0_flash,"6402.35 [6402.35, 6402.35]","556.2 [556.2, 556.2]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]","6358.67 [6358.67, 6358.67]","860.4 [860.4, 860.4]","0.16 [0.16, 0.16]","1.00 [1.00, 1.00]","2669.13 [2669.13, 2669.13]","1386.2 [1386.2, 1386.2]","0.07 [0.07, 0.07]","1.00 [1.00, 1.00]"
gemini_2_0_flash_lite,"6388.04 [6388.04, 6388.04]","509.7 [509.7, 509.7]","0.09 [0.09, 0.09]","0.80 [0.80, 0.80]","6440.05 [6440.05, 6440.05]","767.7 [767.7, 767.7]","0.16 [0.16, 0.16]","0.80 [0.80, 0.80]","2712.50 [2712.50, 2712.50]","1418.0 [1418.0, 1418.0]","0.07 [0.07, 0.07]","1.00 [1.00, 1.00]"
gemini_2_5_flash_lite_thinking_medium,"6345.45 [6345.45, 6345.45]","595.3 [595.3, 595.3]","0.09 [0.09, 0.09]","0.60 [0.60, 0.60]","6424.90 [6424.90, 6424.90]","992.1 [992.1, 992.1]","0.16 [0.16, 0.16]","0.60 [0.60, 0.60]","2683.76 [2683.76, 2683.76]","987.0 [987.0, 987.0]","0.09 [0.09, 0.09]","1.00 [1.00, 1.00]"
random_agent,"-1732.89 [-1732.89, -1732.89]","3431.8 [3431.8, 3431.8]","0.27 [0.27, 0.27]","0.00 [0.00, 0.00]","-2795.45 [-2795.45, -2795.45]","2225.8 [2225.8, 2225.8]","0.29 [0.29, 0.29]","0.00 [0.00, 0.00]","-5201.59 [-5201.59, -5201.59]","1821.9 [1821.9, 1821.9]","0.27 [0.27, 0.27]","0.00 [0.00, 0.00]"
