condition,few_players,few_players,few_players,few_players,few_players_low_persistence,few_players_low_persistence,few_players_low_persistence,few_players_low_persistence,more_players,more_players,more_players,more_players
metric,average_profit,hhi,profit_volatility,win_rate,average_profit,hhi,profit_volatility,win_rate,average_profit,hhi,profit_volatility,win_rate
model,,,,,,,,,,,,
gemini_2_0_flash,"2682.64 [2682.64, 2682.64]","6533.33 [6533.33, 6533.33]","2398.6 [2398.6, 2398.6]","0.20 [0.20, 0.20]","3933.59 [3933.59, 3933.59]","6833.33 [6833.33, 6833.33]","1009.4 [1009.4, 1009.4]","0.60 [0.60, 0.60]","1804.21 [1804.21, 1804.21]","4736.67 [4736.67, 4736.67]","1729.4 [1729.4, 1729.4]","0.20 [0.20, 0.20]"
gemini_2_0_flash_lite,"2682.64 [2682.64, 2682.64]","6533.33 [6533.33, 6533.33]","2398.6 [2398.6, 2398.6]","0.20 [0.20, 0.20]","3933.59 [3933.59, 3933.59]","6833.33 [6833.33, 6833.33]","1009.4 [1009.4, 1009.4]","0.60 [0.60, 0.60]","1768.38 [1768.38, 1768.38]","4770.00 [4770.00, 4770.00]","1724.3 [1724.3, 1724.3]","0.20 [0.20, 0.20]"
gemini_2_5_flash_lite_thinking_medium,"3872.66 [3872.66, 3872.66]","5666.67 [5666.67, 5666.67]","2030.7 [2030.7, 2030.7]","0.40 [0.40, 0.40]","4910.17 [4910.17, 4910.17]","6200.00 [6200.00, 6200.00]","706.5 [706.5, 706.5]","1.00 [1.00, 1.00]","2667.61 [2667.61, 2667.61]","3846.67 [3846.67, 3846.67]","1295.9 [1295.9, 1295.9]","0.20 [0.20, 0.20]"
random_agent,"2570.40 [2570.40, 2570.40]","6566.67 [6566.67, 6566.67]","1842.8 [1842.8, 1842.8]","0.20 [0.20, 0.20]","3183.20 [3183.20, 3183.20]","6733.33 [6733.33, 6733.33]","928.1 [928.1, 928.1]","0.20 [0.20, 0.20]","1918.61 [1918.61, 1918.61]","4620.00 [4620.00, 4620.00]","1693.8 [1693.8, 1693.8]","0.20 [0.20, 0.20]"
